"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
0.9791,4.1784,2.4158,8.0079,1.3310,734.4004,267.9933,524.7641,348.7953,812.0601,1.0000
0.7368,7.2406,1.6218,0.8641,1.1426,677.8390,1069.2798,729.4625,659.4341,211.8808,1.0000
0.7097,1.3034,1.0953,1.1080,2.5125,706.5686,339.8173,613.6463,890.6176,242.8549,1.0000
0.7798,8.1467,1.0381,3.4089,4.8856,767.1701,1129.4324,573.6942,338.0217,303.0075,1.0000
0.8378,5.1501,1.0560,3.1318,1.0072,1060.3018,509.0526,853.8078,799.4909,568.3074,1.0000
0.8429,2.2121,3.6908,1.3061,0.8291,619.0331,292.2339,619.9309,745.1740,773.4547,1.0000
0.8167,0.9391,1.0000,0.9640,6.1009,535.9866,632.5001,714.6488,735.2982,156.6661,1.0000
0.6705,1.2438,1.8947,0.6891,5.1444,1140.6549,776.5970,504.5636,715.5466,1065.2397,1.0000
0.8198,4.0924,1.3057,0.7885,3.6638,860.0924,273.3801,385.1562,1022.1453,229.3879,1.0000
0.9219,5.8190,2.0493,0.6527,3.1499,896.0044,739.3383,670.2077,439.4731,729.4625,1.0000
0.8246,8.1697,0.7769,3.3442,1.1628,934.1609,713.3021,853.3589,469.5494,516.2350,1.0000
0.9171,3.4830,1.0676,0.8078,2.4847,1032.4700,219.5121,697.5906,513.5416,546.7602,1.0000
0.8470,5.2861,0.9931,2.6970,0.7538,572.7964,383.3606,219.9610,822.3848,561.1250,1.0000
0.9195,1.2903,2.5468,0.9677,5.6387,979.9487,333.9816,291.7850,1023.4920,682.7769,1.0000
0.5396,1.0661,2.7841,0.8247,0.8819,606.0150,1059.8529,442.1665,1090.3781,733.5026,1.0000
0.8502,1.0807,8.5783,2.3703,6.6403,734.8493,401.7655,317.8212,690.4082,551.2492,1.0000
0.7531,0.9754,3.0498,0.7591,1.0918,351.0398,179.1111,927.8763,707.9153,695.7950,1.0000
0.7150,1.0295,0.8640,4.5292,0.9182,769.8635,244.6505,601.5260,251.3840,636.0913,1.0000
1.0956,1.2435,1.1289,2.4494,1.4144,1014.9629,594.3436,729.9114,150.8304,357.7733,1.0000
0.8960,1.5249,8.7526,0.7306,0.8409,454.7357,686.8170,724.5246,1102.9473,200.6583,1.0000
0.6939,8.7009,1.8018,0.7153,1.2515,546.3113,585.3656,838.5452,744.2762,304.8031,1.0000
0.9844,1.5615,0.9066,0.7040,0.8954,575.4898,658.9852,757.2943,1179.2603,637.4380,1.0000
0.9717,2.8438,5.2733,1.7651,1.4240,1107.4363,628.0111,1218.7635,269.7889,275.6246,1.0000
0.9534,1.2395,12.1330,0.8083,1.3922,728.1158,320.9635,613.1974,595.2414,584.0189,1.0000
1.0383,1.7422,5.8871,0.6437,13.1370,950.3213,178.6622,477.6296,900.4934,1417.1773,1.0000
0.9373,2.2634,4.9146,0.5645,1.1394,958.8504,760.8855,169.6842,733.9515,523.8663,1.0000
0.7967,1.6000,2.3762,0.8692,0.9935,381.1161,534.6399,583.1211,971.4196,448.0022,1.0000
0.9027,6.8345,1.1356,1.4892,0.8293,700.2840,580.4277,549.9025,1448.1514,618.5842,1.0000
0.8266,10.8579,1.3305,2.1811,1.0084,385.1562,665.7187,540.9245,566.9607,793.6552,1.0000
0.7344,5.8867,1.3206,1.1411,4.8667,829.1183,520.7240,632.0512,912.1648,295.3762,1.0000
0.7668,2.3084,1.2468,2.7290,0.9601,1276.2227,751.0097,760.8855,325.0036,376.1782,1.0000
0.6420,1.9190,1.1685,0.8847,1.9648,982.1932,417.9259,419.2726,612.2996,307.9454,1.0000
0.6479,1.6644,1.2627,0.8440,0.9851,662.1275,522.5196,862.3369,984.8866,671.5544,1.0000
0.8124,8.6639,1.0999,0.6807,1.0795,369.8936,462.3670,351.0398,746.9696,863.6836,1.0000
0.8002,2.5187,1.4369,0.7747,8.2372,600.1793,468.2027,552.1470,650.0072,1049.0793,1.0000
0.9946,3.1546,3.2126,0.7884,2.4879,258.5664,271.1356,363.1601,954.8103,338.4706,1.0000
0.9345,5.2112,1.2000,1.8013,0.7514,888.8220,672.4522,676.4923,659.8830,703.8752,1.0000
0.7353,9.0792,1.3155,0.4864,1.1033,347.4486,542.2712,576.8365,476.7318,614.9930,1.0000
0.8679,1.0758,5.2421,0.7455,1.5946,708.8131,527.9064,961.5438,1146.0417,512.6438,1.0000
