"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.9359,1.4331,1.7865,1.4383,0.6530,1.0614,414.7836,419.7215,772.1080,220.8588,255.4241,195.7204,1.0000
0.5352,0.9366,1.5361,0.9241,0.8593,1.0805,160.7062,547.2091,830.0161,254.5263,279.6647,396.3787,1.0000
0.6661,0.9921,1.3838,1.7469,0.6781,2.6760,202.0050,880.2929,1055.3639,280.5625,157.5639,192.1292,1.0000
0.7577,0.8067,8.5854,0.8498,1.2728,5.5299,765.3745,1166.2422,426.4550,462.8159,1183.7493,375.2804,1.0000
0.7064,0.9734,1.2104,1.6776,0.8184,2.2067,1058.0573,651.8028,275.6246,864.5814,311.0877,239.7126,1.0000
0.7376,0.7441,1.2105,1.0649,0.8176,5.2269,670.6566,443.0643,681.8791,236.5703,168.3375,579.0810,1.0000
0.5745,1.0216,1.9571,1.8249,1.8043,3.0616,166.0930,1120.4544,681.8791,566.9607,488.4032,662.5764,1.0000
0.9999,1.3781,4.5423,1.3562,1.3219,1.8213,840.7897,628.4600,175.5199,965.5839,808.4689,435.8819,1.0000
1.2716,0.7905,9.6202,1.6382,2.1726,2.2500,1092.6226,740.6850,808.9178,605.1172,973.6641,594.7925,1.0000
1.2826,2.1675,5.8954,10.2486,8.0245,1.2349,812.0601,1440.9690,812.5090,517.1328,1322.0105,189.8847,1.0000
1.1142,2.3757,1.5784,10.6155,1.3538,1.2381,540.9245,931.9164,759.9877,1247.4931,758.6410,481.2208,1.0000
0.7698,3.8166,1.6855,1.9767,5.4024,1.0961,370.7914,278.3180,759.0899,663.4742,673.7989,728.5647,1.0000
1.3238,0.8108,1.0573,1.5924,1.4159,3.9455,318.2701,951.2191,742.0317,325.0036,452.4912,1012.7184,1.0000
1.0786,0.9799,1.7387,0.7917,3.9462,3.8891,878.4973,673.3500,786.9217,776.1481,780.1882,439.4731,1.0000
0.7107,1.4642,0.9545,0.8956,1.4884,6.7822,487.0565,346.9997,201.1072,223.5522,785.5750,730.8092,1.0000
0.7159,1.3194,1.0171,0.9535,1.2107,2.7523,513.5416,891.9643,381.5650,308.3943,834.0562,755.0498,1.0000
1.0230,3.9429,1.0861,1.7625,1.6336,1.3800,235.6725,220.4099,632.0512,843.9320,932.8142,151.7282,1.0000
0.6828,0.9749,4.7920,1.6810,1.2063,1.2475,196.1693,355.9777,201.5561,379.3205,904.5335,625.7666,1.0000
0.9031,1.1440,1.2211,7.2993,7.4099,6.7155,207.3918,573.2453,721.3823,151.7282,717.3422,847.9721,1.0000
0.8282,1.0206,0.7574,1.1871,2.8158,1.4890,500.5235,241.5082,993.4157,966.9306,687.7148,717.3422,1.0000
0.7743,0.9271,1.1049,1.3868,5.9021,4.7435,696.6928,245.9972,865.9281,209.1874,648.2116,259.4642,1.0000
0.7258,1.4858,1.9600,2.2209,0.8348,6.9882,1026.1854,216.3698,193.4759,863.6836,222.2055,343.4085,1.0000
1.1002,1.1189,4.9784,1.2926,0.7310,5.7093,1386.2032,196.1693,292.6828,513.0927,218.1654,1077.3600,1.0000
0.8075,0.7514,1.0077,1.5604,1.1955,3.2232,706.5686,867.7237,256.7708,1194.9718,691.7549,440.3709,1.0000
1.0518,0.8345,1.3954,4.8825,7.5435,1.6240,573.6942,166.0930,852.4611,873.1105,945.3834,394.1342,1.0000
1.4284,0.8529,1.3053,1.2899,3.0892,1.1740,183.6001,242.4060,1048.1815,187.6402,164.2974,641.4781,1.0000
1.1964,1.1449,1.9241,0.8407,3.1330,1.7871,851.5633,335.7772,1406.4037,156.6661,360.4667,599.2815,1.0000
0.7223,0.8499,1.4137,1.6512,1.1403,2.1707,208.7385,185.8446,1048.6304,467.7538,203.8006,219.0632,1.0000
0.8016,0.7547,1.1332,1.6131,7.0465,1.7923,494.6878,161.1551,318.7190,738.4405,617.2375,533.7421,1.0000
1.1209,0.8131,0.9090,0.7273,4.7051,8.2438,481.6697,516.6839,167.8886,163.3996,712.4043,588.5079,1.0000
